Strain,4-Aminobutyrate,Acetate,Acetoin,Acetone,Alanine,Butyrate,Citrate,Ethanol,Formate,Fumarate,Glucose,Glycerol,Glycylproline,Malate,Maltose,Methanol,Pyruvate,Succinate,Valine,acetaldehyde_hydrate_ifr,acetaldehyde_ifr,ethyl acetate
3406,0.132133333,0.792866667,0.0323,0.0145,0.054433333,0.211466667,0.488033333,221.8367333,0.013966667,0.0097,1.262,8.621733333,0.761266667,0.707866667,7.2713,0.619933333,0.475366667,0.8249,0.0775,1.1276,0.068266667,0.068466667
3445,0.351933333,0.953233333,0.024533333,0.026933333,0.259933333,0.187433333,0.459433333,176.5330333,0.011766667,0.009433333,1.267866667,8.125833333,0.965766667,0.5961,37.73433333,0.608566667,0.1883,0.353433333,0.133,1.300933333,0.0317,0.058766667
3447,0.333366667,0.707666667,0.022966667,0.015666667,0.286233333,0.1475,0.418533333,115.8080333,0.0096,0.010233333,1.1203,3.439033333,0.874766667,0.6078,60.93693333,0.6566,0.110566667,0.272133333,0.166366667,1.290733333,0.029766667,0.0376
3448,0.348133333,1.041666667,0.025166667,0.008766667,0.3374,0.117,0.4159,103.2238667,0.0104,0.013033333,1.170066667,7.6076,1.0459,0.5568,70.6991,0.621733333,0.0708,0.267533333,0.192066667,1.188733333,0.026566667,0.035966667
3449,0.3395,0.6506,0.0208,0.008733333,0.3587,0.107333333,0.432233333,90.61986667,0.015966667,0.0095,1.238166667,3.6386,0.9559,0.558333333,76.04283333,0.612666667,0.176933333,0.2527,0.216033333,1.342633333,0.0315,0.0317
3452,0.3399,0.924466667,0.040466667,0.006466667,0.312,0.156833333,0.440866667,122.8642667,0.026566667,0.007,1.272866667,6.103433333,1.016933333,0.445333333,62.13913333,0.619633333,0.1726,0.3945,0.1887,1.2391,0.0293,0.038133333
3455,0.348566667,1.101333333,0.024466667,0.0075,0.1602,0.2032,0.4223,177.7796667,0.0126,0.012833333,1.566666667,7.295566667,0.982333333,0.702833333,32.77873333,0.6089,0.158733333,0.476133333,0.098133333,1.283866667,0.041166667,0.067933333
3456,0.325233333,4.2625,0.0235,0.010166667,0.3338,0.1439,0.435533333,149.5295,0.012166667,0.001266667,1.199766667,9.740933333,0.927733333,0.5173,41.87956667,0.662933333,0.058766667,0.0598,0.1449,1.062566667,0.017533333,0.0464
3457,0.347066667,1.2727,0.0204,0.0143,0.2196,0.188733333,0.430033333,165.1789667,0.013833333,0.009,1.184633333,6.7694,0.8173,0.5859,36.87816667,0.639366667,0.1437,0.444866667,0.1365,1.251266667,0.0319,0.064266667
3458,0.310866667,0.775366667,0.018366667,0.021633333,0.190633333,0.165766667,0.398766667,149.3838667,0.009366667,0.008366667,1.0608,6.179866667,0.972366667,0.606033333,35.98966667,0.6191,0.164533333,0.348133333,0.112633333,1.222533333,0.0304,0.032966667
3460,0.3542,0.824866667,0.0235,0.046966667,0.378366667,0.128466667,0.4564,132.2719333,0.011633333,0.010333333,1.260166667,7.091033333,0.9593,0.545933333,58.6632,0.606666667,0.197533333,0.310966667,0.204533333,1.226133333,0.030933333,0.0278
3461,0.3022,0.724966667,0.0247,0.326833333,0.391566667,0.183333333,0.360766667,56.5177,0.205466667,0.014,16.62836667,4.7637,0.762133333,0.4137,75.1523,0.483833333,0.110633333,0.0945,0.246966667,1.1419,0.0207,0.021866667
3462,0.320766667,0.721433333,0.017433333,0.070466667,0.3428,0.104566667,0.4116,102.0083667,0.0077,0.008466667,1.030733333,4.428566667,0.885733333,0.554833333,62.75476667,0.594333333,0.165,0.210633333,0.162666667,1.0411,0.025333333,0.012833333
3467,0.328233333,0.778533333,0.020866667,0.045433333,0.052066667,0.217833333,0.462566667,201.0963667,0.011766667,0.011933333,2.9264,6.221833333,0.992433333,0.618466667,31.9841,0.598866667,0.124733333,0.4245,0.057866667,1.084,0.036,0.0576
3470,0.328766667,0.092766667,0.334933333,0.093433333,0.471866667,0.118833333,0.3921,66.20993333,0.3821,0.0169,2.9242,1.322466667,0.972033333,0.123833333,71.7144,0.683433333,0.071,0.205733333,0.144733333,1.279233333,0.0162,0.029633333
3471,0.339633333,0.739333333,0.023933333,0.033566667,0.096166667,0.2063,0.4489,205.8625667,0.008466667,0.0133,1.122833333,6.397733333,1.077866667,0.8228,18.72086667,0.652866667,0.126433333,0.474633333,0.050333333,1.022,0.0417,0.054566667
3472,0.353266667,0.878566667,0.021966667,0.010733333,0.2276,0.139933333,0.441833333,137.0828667,0.008366667,0.0098,1.1348,7.414233333,1.122,0.7797,50.22083333,0.6012,0.170266667,0.431466667,0.126233333,1.030033333,0.0282,0.0164
3486,0.3554,1.558633333,0.020333333,0.007566667,0.228366667,0.142366667,0.4315,142.0563667,0.011433333,0.0122,1.545866667,7.428933333,1.0424,0.727266667,50.82363333,0.603133333,0.112066667,0.415733333,0.133433333,1.405133333,0.026933333,0.049
3487,0.344633333,1.493666667,0.0225,0.005733333,0.129766667,0.161066667,0.435866667,175.7464667,0.012333333,0.0102,3.8101,6.1801,0.9724,0.664466667,24.92593333,0.6064,0.0858,0.4405,0.090933333,1.107233333,0.029366667,0.039233333
3612,0.332266667,22.6928,0.076033333,0.014666667,0.3439,0.172533333,0.501633333,135.1022333,0.076733333,0.015566667,1.6535,7.663833333,0.7484,0.826833333,53.24166667,0.627133333,0.100233333,0.0913,0.203533333,1.5863,0.2287,0.079533333
3630,0.3151,0.896575,0.018275,0.03125,0.066925,0.24275,0.43165,231.8604,0.0105,0.01345,1.224525,5.0438,0.86125,0.690725,13.617275,0.639875,0.41875,0.344175,0.0634,1.20575,0.050775,0.067075
33455,0.3465,1.1422,0.0238,0.0142,0.1766,0.1401,0.4304,158.5646,0.0128,0.0129,1.9866,8.1663,1.0039,0.6387,37.1121,0.5686,0.1127,0.4945,0.1121,1.6326,0.0364,0.0515
